"Year","Month","Unemployment","Employment","U/E Ratio","P_Year","SH_Year"
2294,1,2034,58061,0.035032121389573,TRUE,TRUE
2294,2,2328,58196,0.0400027493298509,TRUE,TRUE
2294,3,2399,57671,0.0415980302058227,TRUE,TRUE
2294,4,2386,58291,0.0409325624882057,TRUE,TRUE
2294,5,2118,57854,0.0366093960659591,TRUE,TRUE
2294,6,2214,58743,0.0376895970583729,TRUE,TRUE
2294,7,2213,58968,0.0375288291954959,TRUE,TRUE
2294,8,2350,58456,0.0402011769536061,TRUE,TRUE
2294,9,2302,58513,0.0393416847538154,TRUE,TRUE
2294,10,2259,58387,0.0386901193758885,TRUE,TRUE
2294,11,2285,58417,0.0391153260181112,TRUE,TRUE
2294,12,2429,58740,0.0413517194416071,TRUE,TRUE
2295,1,2596,58175,0.0446239793725827,FALSE,FALSE
2295,2,2849,58208,0.0489451621770203,FALSE,FALSE
2295,3,3030,58043,0.0522026773254311,FALSE,FALSE
2295,4,3260,57747,0.0564531490813376,FALSE,FALSE
2295,5,3707,57552,0.0644113149847095,FALSE,FALSE
2295,6,3776,57172,0.0660463163786469,FALSE,FALSE
2295,7,4111,57190,0.0718831963630005,FALSE,FALSE
2295,8,4193,57397,0.0730525985678694,FALSE,FALSE
2295,9,4049,57584,0.0703146707418727,FALSE,FALSE
2295,10,4916,57269,0.0858405070806195,FALSE,FALSE
2295,11,3996,58009,0.0688858625385716,FALSE,FALSE
2295,12,4063,57845,0.0702394329674129,FALSE,FALSE
2296,1,4026,57635,0.0698533876984471,FALSE,TRUE
2296,2,3936,57751,0.0681546639885024,FALSE,TRUE
2296,3,3876,57728,0.0671424611973392,FALSE,TRUE
2296,4,3575,58583,0.061024529300309,FALSE,TRUE
2296,5,3434,58649,0.0585517229620283,FALSE,TRUE
2296,6,3367,59052,0.0570175438596491,FALSE,TRUE
2296,7,3120,59001,0.0528804596532262,FALSE,TRUE
2296,8,2799,59797,0.0468083683127916,FALSE,TRUE
2296,9,2774,59575,0.0465631556861099,FALSE,TRUE
2296,10,2625,59803,0.0438941190241292,FALSE,TRUE
2296,11,2589,59697,0.0433690135182672,FALSE,TRUE
2296,12,2639,59429,0.0444059297649296,FALSE,TRUE
2297,1,2305,59636,0.0386511503118921,FALSE,FALSE
2297,2,2117,59661,0.0354838168988116,FALSE,FALSE
2297,3,2125,60401,0.0351815367295243,FALSE,FALSE
2297,4,1919,59889,0.0320426121658401,FALSE,FALSE
2297,5,1856,60188,0.0308367116368711,FALSE,FALSE
2297,6,1995,59620,0.0334619255283462,FALSE,FALSE
2297,7,1950,60156,0.0324157191302613,FALSE,FALSE
2297,8,1933,59994,0.0322198886555322,FALSE,FALSE
2297,9,2067,59713,0.0346155778473699,FALSE,FALSE
2297,10,2194,60010,0.0365605732377937,FALSE,FALSE
2297,11,2178,59836,0.0363994919446487,FALSE,FALSE
2297,12,1960,60497,0.0323983007421856,FALSE,FALSE
2298,1,1972,60460,0.0326166060205094,TRUE,TRUE
2298,2,1957,60462,0.0323674373986967,TRUE,TRUE
